Link,Question Title,Question Body,Comments
https://community.sw.siemens.com/s/question/0D54O00007eSMn9SAG/post-configurator-library-source-tool-packaged,Post Configurator Library Source Tool - Packaged,"If you are using the PC source tool often in your work and don't have a button for it on your toolbar, this package is for you.Attached is a 7z archive of the PC source tool I packaged with appropriate menu additions.Installing this requires having a custom NX environment with a custom_dirs.dat file. If you do not have a custom_dirs.dat file in your environment, you will need to add it. If you already have this file defined in your custom environment, skip to step 3 below.1) Create an empty text file named custom_dirs.dat in a location where you keep your custom NX environment related files.2) In whichever manner you set environment variables for your custom NX environment, set the environment variable UGII_CUSTOM_DIRECTORY_FILE to the full path of the file which you created.3) Download the 7z file attached to this post and extract it using 7-zip to a location where you keep your custom NX environment related files. The location of this folder should be one which has no spaces in the path (no higher level folders can have names with spaces in them).4) Copy the path of the PostConfiguratorLibrarySourceTool folder. This is the folder containing the startup and application folders.5) Edit the custom_dirs.dat file in your favorite text editor and paste the copied path to a new line in the file. There should be no spaces or double quotes in this path. (Environment variables may be used in this path if you prefer to use them and are familiar with how to use them.)6) Save the custom_dirs.dat file.7) Start a new NX session with your custom environment.Once a new session of NX is started with the changes made, you should find a button has been added to the dropdown within the Manufacturing application of NX.","KJH thanks for sharing. ||| Eric Magray(Siemens Employee) I have updated this to the 5.5.8 version. Enjoy! ||| Robert_G Hello, Can you help me, which one is the ""Utilities folder""? And where can I find update_utilities.bat script ?  I've always started this app from .exe file by CTRL+U menu in NX but now I does not work. Eric Magray(Siemens Employee) Ctrl+U is always a valid way to use the tool. What I have done here is just added a few extra things so a button on the ribbon bar can start the tool instead. It's a bit more convenient than Ctrl+U for those who use this tool frequently.  The post has been updated with generic installation instructions! ||| Eric Magray(Siemens Employee) Ctrl+U is always a valid way to use the tool. What I have done here is just added a few extra things so a button on the ribbon bar can start the tool instead. It's a bit more convenient than Ctrl+U for those who use this tool frequently.  The post has been updated with generic installation instructions! ||| pachinko Hi Eric, I tried to use this app, but I got an error message: System.NotSupportedException: An attempt was made to load an assembly from a network location which would have caused the assembly to be sandboxed in previous versions of the .NET Framework.  Do you have any guesses on how to avoid it? Eric Magray(Siemens Employee) I have never seen this issue before, but a quick search reveals this Stack Overflow thread with some potential solutions:https://stackoverflow.com/questions/18016315/an-attempt-was-made-to-load-an-assembly-from-a-network-location-which-would-have  It would be worth attempting some of the suggestions in that thread to see if any solve your problem. ||| Eric Magray(Siemens Employee) I have never seen this issue before, but a quick search reveals this Stack Overflow thread with some potential solutions:https://stackoverflow.com/questions/18016315/an-attempt-was-made-to-load-an-assembly-from-a-network-location-which-would-have  It would be worth attempting some of the suggestions in that thread to see if any solve your problem. ||| Ron T Hello,@Eric Magray(Siemens Employee)​ thanks for this procedure.  I noticed there is a difference with this download attached and the download of the PC library tool from the post hub resources page.  This download has a .dll vs the .exe as the startup file.  We have a .grb file tied to a .rtb file in the startup folder vs a .men file.  It seems the .dll needs to be there to work in the .grb file.  Since the post hub files come down with a .exe to use this procedure I need to use your .dll that is included in this download.  I get this message now in NX2312.  Will you be updating this .dll as NX versions are released so this message won't keep coming up?  I presume at some point the .dll will need updating anyway.  For some reason the .exe cannot be used in my .grb file as i get a message about an unknown action but the .dll works.  See attached pics 1167 and 1168 for using the .dll and .exe respectively.  I can create an on the fly custom command button while in NX and can add the .exe.  Is it not possible to use the .exe in these group and menu files?  Eric Magray(Siemens Employee) I do intend to keep this updated as I learn of the updates.  In response to your .dll vs .exe questions, you do need to have a .dll for the menuscript files. On the bright side, the .dll and .exe are the same file. Just rename the .exe to .dll. This is exactly what I did when packaging this tool, along with creating the files to add the button to the UI. ||| Eric Magray(Siemens Employee) I do intend to keep this updated as I learn of the updates.  In response to your .dll vs .exe questions, you do need to have a .dll for the menuscript files. On the bright side, the .dll and .exe are the same file. Just rename the .exe to .dll. This is exactly what I did when packaging this tool, along with creating the files to add the button to the UI. ||| Eric Magray(Siemens Employee) Updated to 24.03.0 Bryan Parnin Is there any likelihood that we get an update to support the newer library versions available on Post Hub? ||| Bryan Parnin Is there any likelihood that we get an update to support the newer library versions available on Post Hub?"
https://community.sw.siemens.com/s/question/0D5Vb00000O8b0EKAR/creating-3d-tools-in-nx-cam,Creating 3D tools in NX cam,"Hi,Are there any good videos on importing/using 3d tool models in NX CAM? I downloaded a step file from Sandvik, but I'm struggling with the steps to prepare the model before setting it up in the tool library.The step file is downloaded as an assembly but when I import it into NX, NX creates the individual models and a blank assembly.Can anyone please explain the steps for importing a step file and getting it ready for creation within the tool library 🙂Thank you.","Mike_R If you subscribe to the CoroPlus Tool Library you get an ad in for NX that will import the GTC package without making any ModelsThis takes the model you created and adds to your tool library in NX. In addition your CoroPlus Tool Library stores your assemblies so they are always available if you need for a different user or Different CAM software. The same GTC package can be imported into Vericut. ||| ady35843060 Ah! I will try this. this issue I'm having is when I import a stp, in the assembly created by NX there are no solid bodies. which I need for the tool library to see. But then the individual parts of the assembly which NX also creates are created as a body.I have been on YouTube all day:) I'm so confused. Edge cam was much simpler lol Thanks!! ||| ady35843060 This is what I'm trying to achieve. ||| Mike_R When you import Step files you are using them to match a parametric tool in NX which has never been very easy to get exact. Using GTC packages bypasses all the extra work required ||| ady35843060 Ok thanks ill give it a go."
https://community.sw.siemens.com/s/question/0D5Vb00000Nn8AaKAJ/how-to-output-rotation-values-for-table-4axis-machine-type,How to Output Rotation Values for Table 4-Axis Machine Type,"HiThe machine type is a Table-4axis (B). I referenced sim03 and output it with a Fanuc controller. The machine does not use code 68.2; it only needs the B-axis rotation value to be output. However, the B-axis value is currently outputting as 0. I used Post Configurator. How can I configure it to output the rotation value?","Steve Curtis Set your MCS as Main and align it with the machine axis. Then NX will output the rotation as B270. for the work on the side of the part as you have shown. Currently your MCS is not aligned with the machine axis. JIKYUNG Hi  The MCS structure is as follows. Rotation should occur at the ORIGIN coordinates.  ​ ||| JIKYUNG Hi  The MCS structure is as follows. Rotation should occur at the ORIGIN coordinates.  ​ ||| JIKYUNG Everyone, I want to represent B270 in the G10 code block at the top. How can I do this?    ||| John_Vincent(Partner) Just as Steve stated above you need to reorient your MCS so the Z-axis is pointing towards the milling spindle. Your image show the MCS is set with Z normal to the face you are milling. NX needs to see a difference between the MCS orientation and the tool axis in the operation. ||| JIKYUNG I have an additional question for everyone.  I want to output the B-axis rotation value in the G10 code block. Currently, it outputs the B-axis value of the entire current operation. How should I set it up?  "
https://community.sw.siemens.com/s/question/0D5Vb00000O7XsgKAF/is-there-a-way-to-make-the-toolpath-of-step-over-green-invisible,Is there a way to make the toolpath of step over (green) invisible?,"When using adaptive milling, it is inconvenient to check the tool path because the actual machining tool path (Sky Blue color) and the step over (Green color) overlap. Can't I make the step over invisible?","hjoy (Harri Joy), SCC @jihoonkim8773(Partner)​ Yes there is in manufacturing preferences, although ticking the box seems to do the opposite of what I'd expect ;) See video for a demonstration. https://youtu.be/jqABca_1vwI  I'm sorry, the video has some issues. Anyway, go to manufacturing preferences, untick ""display stepover with non-cutting moves"" then toggle the little eye symbol in the display category. "
https://community.sw.siemens.com/s/question/0D5Vb00000J0sVUKAZ/siemens-nx-wallpaper,Siemens NX Wallpaper,"How we can get nice and HD Siemens NX Wallpaper for the DESKTOP, For example: 2560x1440, Since I can not find it in internet.","KJH Hello,  Not sure if this will help...there are some nice images here... https://blogs.sw.siemens.com/nx-design/why-is-facet-modeling-necessary-for-generative-design/  With Best Regards, Kevin ||| Dave K If you can find the archive of old Siemens calendar images, there were some cool ones in there. ||| CCOS COUT Hello i use this, image..."
https://community.sw.siemens.com/s/question/0D5Vb00000O6r74KAB/nx2406-display-issue,NX2406 display issue,"Hi,Why I set display like solid shape, but show the model as wireframe?Please refer to the attached image.Thanks.",
https://community.sw.siemens.com/s/question/0D5Vb00000NjUi5KAF/holemaking-tapping,Hole_making Tapping,"hi,guys!I don't understand the difference between these four tapping cycles. Who can help me?and What does Orientation Status mean?I tried post-processing with Drill, Deep, and BreakChip, but the output was G74. Why?thanks!","KJH Hello Joe, The ""Orientation Status"" is found in the NX Documentation in the following doc... https://docs.sw.siemens.com/en-US/doc/209349590/PL20230425446868577.xid615615/xid1971986  Orientation Status Specifies the spindle orientation. Orientation Available when you select theOrientation Statuscheck box. Lets you specify the spindle orientation in degrees.  Your postprocessor is controlling the output of G74. Are you using Post Builder or Post Configurator?  With Best Regards, Kevin  joe han hi！Kevin I can understand the meaning of Orientation Status, but I'm not sure what purpose it has in Tapping. ​ I am using Post Builder,and I am learning these four types of tapping Cycles. Can you tell me what are the differences between each of these four Cycles. thank you for you help！  ToonVDK Hi Joe,  The Orientation represents the angle to which the control positions the tool before machining the thread. This allows you to re-cut the thread, if required.  For example for a Heidenhain it maps to Q336 (Angle for spindle orientation).  The different cycle types link to different machine cycles, for the same Heidenhain you'll have a Cycle 206 TAPPING with a floating tap holder, a Cycle 207 RIGID TAPPING without floating tap holder and a Cycle 209 TAPPING W/ CHIP BRKG without floating tap holder...  Thanks,  Toon  joe han thank you so much！i will try it. ||| joe han hi！Kevin I can understand the meaning of Orientation Status, but I'm not sure what purpose it has in Tapping. ​ I am using Post Builder,and I am learning these four types of tapping Cycles. Can you tell me what are the differences between each of these four Cycles. thank you for you help！  ToonVDK Hi Joe,  The Orientation represents the angle to which the control positions the tool before machining the thread. This allows you to re-cut the thread, if required.  For example for a Heidenhain it maps to Q336 (Angle for spindle orientation).  The different cycle types link to different machine cycles, for the same Heidenhain you'll have a Cycle 206 TAPPING with a floating tap holder, a Cycle 207 RIGID TAPPING without floating tap holder and a Cycle 209 TAPPING W/ CHIP BRKG without floating tap holder...  Thanks,  Toon  joe han thank you so much！i will try it. ||| ToonVDK Hi Joe,  The Orientation represents the angle to which the control positions the tool before machining the thread. This allows you to re-cut the thread, if required.  For example for a Heidenhain it maps to Q336 (Angle for spindle orientation).  The different cycle types link to different machine cycles, for the same Heidenhain you'll have a Cycle 206 TAPPING with a floating tap holder, a Cycle 207 RIGID TAPPING without floating tap holder and a Cycle 209 TAPPING W/ CHIP BRKG without floating tap holder...  Thanks,  Toon  ||| joe han thank you so much！i will try it. ||| RL Hi,  Perhaps this article will help. Adding Tap Deep Cycles to a Post Builder Post https://support.sw.siemens.com/knowledge-base/PL8639191 joe han hi！ this has been very helpful to me,thank you！ ||| joe han hi！ this has been very helpful to me,thank you！ ||| shags72 As far as differences if you are talking about the cycles themselves and not post world Tap is your default tap cycle, this is defined by your machine whether it is float with a tension compression holder, which is normal, or rigid tap described aptly as there is no allowed movement. Like a colletted tap holder. Deep and break chip are special cycles that is machine specific an perform different actions in the cycle. Deep I am not familiar with but break chip rotates some number of turns forward and then reverses to break the chip and moves forward again.  To get the different G codes out you normally have to define them in your post.  Hope this is somewhat clear to you. joe han thank you！ ||| joe han thank you！"
https://community.sw.siemens.com/s/question/0D5Vb00000Nv0S0KAJ/nx2306-delete-command,NX2306 Delete command,"I've seen this question before but did not find a good solution to it. When using the delete command both button and CTRL D i found that any item highlighted in the navigators would immediately delete without warning. The instace i caught it happening happend to be in my cam navigator. I almost sent an incomplete program to our machine. Jumping from NX8 to NX23 is huge but this type of change was not expected and like most, using multiple monitors is extremely dangerous.Early thread had suggestion to hit the esc button before hitting the delete button. is there a better solution?Muscle memory is going to be very hard to overcome with new action. I tried CTRL-D but the same result occured.Thanks !!!",
https://community.sw.siemens.com/s/question/0D5Vb00000Kc96qKAB/wireframe-turning,Wireframe turning,"Hi all,Another day another question... Again I am new to NX.Q. I have set up a turning environment, as a test I have created some wireframe geom outside the setup, this is something I do a lot when manipulating tool paths during part creation. I'm trying to find the best way to machine this profile as a stand-alone inside my turning set up. On other cam systems used, I'd select the finish turn option and then select the geom I want to turn (Job done). Within NX this seems a struggle.  I can see there is both teach mode and finish profile, after playing with both of the cycles (a lot) I did manage to get a tool path Out of the finish profile and teach mode, but I had to create a turn geom and define stock etc, which seems a massive pain.In summary, what I am trying to achieve is a finished turned profile on wireframe geom without defining stock etc, I'm pretty sure it's my inexperience! What is the easiest way to do this??please help!!!","KJH Hello,  What version of NX are you using?  With Best Regards, Kevin ady35843060 I’m now on the latest version! KJH ady35843060 Yes, I now understand what needs to be done! thank you. I’m getting there with it! Really enjoying the software 👍🤘 thanks again ||| ady35843060 I’m now on the latest version! KJH ady35843060 Yes, I now understand what needs to be done! thank you. I’m getting there with it! Really enjoying the software 👍🤘 thanks again ||| KJH ||| ady35843060 Yes, I now understand what needs to be done! thank you. I’m getting there with it! Really enjoying the software 👍🤘 thanks again ||| JasonOtto NX turning operations (with the exception of teach mode) are designed to be stock-aware.  They only produce tool path where there is material to remove.  So, no stock defined = no tool path.  That's why your teach mode operation worked to give you a tool path, even though teach mode can be tricky to learn.  You are able to define stock with wireframe as well, just as you did with the part profile.  You can create a new sketch or offset the existing part profile wireframe by a small amount.  Just pick this wireframe in the TURNING_WORKPIECE as the set of blank curves.  then choose Curves:   ||| ady35843060 Ahhh! Thank you I will try this. Yes it does seem to use the stock hence the issues I have had. Just something im not used to. ||| ady35843060 I take it this has to be a closed profile with the curves for the stock? Thanks again. ||| JasonOtto Not necessarily a closed profile unless you are using some sort of hollow or cored out material, but you would want the profile ends to at least meet the centerline axis of the setup so NX can create the spun outlines.  Attached is a sample older job from NX12, so you should be able to open it in any current version and see how this works.  Best of luck! wireframe_turning_mm_NX12 121KB"
https://community.sw.siemens.com/s/question/0D5Vb00000Np3ShKAJ/populate-momvariable-for-cse-simulation,populate mom-variable for CSE Simulation,"Hello,i have a variable in my pp which is checking for a directory. In the moment of CSE Sim this directory does not exist there for i want to just give this mom variable a dummy name via for example ini file in machine folder or what ever does anybody have an idea?thanks","JasonOtto In post builder, this variable used to be the way to go for handling different post processing conditions...perhaps it still works the same in post configurator.  mom_post_in_simulation  description:  Defines whether the current postprocessing is being executed from simulation.  possible values:  0 (pure postprocessing), MTD, CSE, SYN (Sync Manager)   You would put your variable assignment within a logical test.  If mom_post_in_simulation = 0, then assign the value.  If mom_post_in_simulation = CSE, then do not use the variable at all.  Or some similar structure to filter out the use of your custom variables if the post is being run during simulation."
