Link,Document Title,Document Body
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/intro,Manufacturing introduction,"The following diagram gives a high-level view of the Manufacturing applications. Click a box to view the linked topic.
The Manufacturing application allows you to interactively program tool paths.
Tip: The Manufacturing application includes the Manufacturing Compare Tool Navigator. You can create and manage configurations for the compare tool navigator columns to help you analyze the differences between part revisions. For more information, see Configuring navigator columns and Manufacturing Compare Tool.
NX supports:
Turning
Milling
Mill Turn
Drilling
Wire EDM
Probing
General positioning
Standard Manufacturing content
Manufacturing includes
A default user interface that contains common functionality for milling, drilling, turning, and wire edm operations.
Configuration files define the available machining processors, tool libraries, postprocessors, and other high level parameters.
The Mach Kit contains the default set of configuration files, templates, and libraries delivered with each release.
The ability to customize your user interface to industry specific requirements with templates which can include machine tools, cutting tools, machining methods, shared geometry, and sequences of operations.
An organization aid, the Operation Navigator, that allows you to view and manage relationships between operations, geometry, machining methods, and tools.
Note:
The options available in Manufacturing may be different based on the role you are using. If a described option is not available, choose the CAM Essentials role, or choose the CAM Advanced role."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/intro_term,NX Manufacturing terms,"An understanding of the following terms is essential to effective usage of the Manufacturing application.
Setup
The setup is a part that can contain, or reference as components, the part to machine, blank, fixtures, clamps, and machine tool.
Assemblies
Assembly parts can be machined using NX Manufacturing applications. You can select geometry in an assembly part file or any component part file to use in an operation. If the selected geometry is located in the component part file, the CAM operation will contain an occurrence of the selected geometry. All selected geometry is associative (See Associativity).
CAM objects (Operations, Tools) can only be retrieved in the assembly part file. You can retrieve libraries of tools or a component library part file. Part merge can be used to retrieve CAM objects from the component part into the assembly part.
An assembly can be created containing components, such as clamps and fixtures. This approach:
Avoids having to merge clamp, fixture, etc. geometry into the part to be machined.
Allows you to generate fully associative tool paths for models that you may not have write access privilege.
Enables multiple NC programmers to develop NC data in separate files simultaneously.
The Manufacturing application retains the information used in generating a tool path. This capability is termed associativity.
Note:
If you are in a Teamcenter environment, or if your configuration includes LIBRARY_SETUP_TEMPLATE, such as cam_library, then the assembly can be created automatically by selecting the appropriate setup. This setup can contain CAM objects, as well as geometry and components, such as clamps. Your work part is placed in this assembly. See Data Management for more information.
Operation Navigator
The Operation Navigator is a graphical organization aid with a tree structure that illustrates relationships between the geometry, machining method, and tool parameter groups and the operations within a program. Parameters are passed down or inherited from group to group and from group to operation based on their location in the tree structure. You can view and manage relationships between operations and parameter groups to share the parameters among operations.
Except for a few cases, you can determine whether or not to apply inheritance.
Operation
An operation contains all information used to generate a single tool path.
Associativity
If the geometry or tool used for an operation is edited after generating its tool path, the operation automatically uses the new information when you regenerate. It is not necessary to re–select the geometry. If geometry required to generate the tool path is deleted, the software prompts you to specify new geometry.
Automatically updating tool paths every time geometry is altered can reduce productivity, since some operations can take many minutes to complete. Therefore, it is up to you to update the tool paths when necessary. Similarly, when you specify a clearance line in Turning, the coordinate data is saved, but modification of the line is not reflected in the operations.
MCS
There are two coordinate systems which are unique to Manufacturing: the Machine Coordinate System and the Reference Coordinate System.
The Machine Coordinate System is the base location for all subsequent tool path output points. This allows you to move the Work Coordinate System (WCS) independently. If you move the MCS, you re-establish the base location for the subsequent tool path output points."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/opt_avail_temp,NX Manufacturing templates,"Templates contain pre-set options and dialog box layouts that are customized for specific tasks. Manufacturing contains setup templates, group templates, and operation templates.
The setup template defines the available Type options and groups that initially appear in the Operation Navigator, the Create Operation dialog box, and the Create Group dialog boxes.
You must specify the setup template when you enter the Manufacturing application for the very first time with any part. After that, the setup template is always associated with the part.
In the Create Geometry, Create Program, Create Method, Create Operation, and Create Tool dialog boxes, the Type list displays the available group templates.
In the Create Operation dialog box, the Operation Subtype group displays the available operation templates."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid924223,"CAM and NX assemblies — setups, machines, tools, and devices","When you create a native NX CAM setup, we recommend that you use the master model concept, as described under Quick Links the link at the right side of this page.
When you add tools, devices, or a machine tool assembly, to your setup, NX uses the assemblies concept to keep track of files that should be displayed with your part. The files are treated like assembly components.
As a CAM user, you do not need to complete assemblies training to use this largely automatic functionality. You do need to be aware of some assemblies basics.
Assembly Load Options
When native NX opens a part that has components, the components are found by one of the following methods:
From Folder
As Saved
From Search Folders
The default option is From Folder. If you do not change this default, NX does not initially find machine tool assemblies, and sometimes it does not find tools or devices. You may see warning messages that relate this information.
You can accept these warnings when they appear.
Opening your CAM setup after it was saved and closed
When you open a CAM setup part, when NX Manufacturing starts, it automatically searches the folders that are represented by the following variables:
UGII_CAM_LIBRARY_INSTALLED_MACHINES_DIR
UGII_CAM_LIBRARY_TOOL_DIR
UGII_CAM_LIBRARY_DEVICE_DIR
Because of this additional search, after you acknowledge the warning, your machine tool and other tools and devices are displayed."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/id947709,Plan for Manufacturing,"Visually inspect the part to machine and review the drawing.
Determine the machining type or types and machining positions required.
NX supports:
Turning
Milling
Mill Turn
Drilling
Wire EDM
Probing
General positioning
Analyze the part to collect data for the manufacturing plan.
From the part analysis, determine the best tools and operation types to select tools, then create a roughing plan and a finishing plan."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/id947716,Manufacturing programming workflow,"Create a part to contain the setup, which has all the manufacturing information.
This setup part can contain, or reference as components, the part to machine, the blank, fixtures, clamps, and the machine tool.
Establish the program, tool, method, and geometry parent groups to define parameters for reuse.
Create operations to define the tool paths.
Generate and verify the tool paths.
Post process the tool paths to format the data for your machine tools and controllers.
Create shop documentation."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/id1288936,Operation dialog box layout,"Geometry group
Selects previously defined geometry parent that controls inherited geometry.
Creates a new geometry parent for this operation.
Edits the geometry selections in a previously defined parent group.
Tool group
Tool
Selects a previously defined tool from the Operation Navigator.
Create New
Creates a new tool definition for the current operation and places it in the Machine Tool View of the Operation Navigator for use by other operations.
Edit or Display
Displays the current tool and a dialog box of the tool's parameters.
Select Tracking
Accesses options to define tracking points for the tool. A tracking point is a reference point on the tool used to calculate tool paths.
Output
Displays the current parameters for Tool Number, Adjust, Cutcom, and Z Offset and their related inheritance status.
Tool Change Settings
Displays the current settings for the Manual Tool Change and Text Status. It also displays the Holder Number and Inheritance status.
Path Settings group
Method
Create New
Lets you create a new Method group for this operation and place it in the Machining Method View of the Operation Navigator for use by other operations. For example: Roughing or Finishing.
Edit
Lets you edit the selected Method definition.
Cutting Parameters
Lets you control settings that are common to the cutting operation subtypes. This includes tolerances, cutter clearance angles, minimum clearance, contour types, cut constraints and cut control.
Non Cutting Moves
Specifies movements that position the tool before, after, and between cutting moves.
Feeds and Speeds
Specifies spindle speeds and feed rates.
Sets the rate at which the tool advances. You can inherit the value of the feed parameters from the Method group.
Set Speeds on the Feed Rate dialog.
Feed Rates
Machine Control group
Start of Path Events
End of Path Events
Machine
Specifies machine events such as tool changes, start and end events (which are user defined), or special Post commands. This option controls the type of motion output.
Machine Control options can also be defined at the boundary level, at the boundary member level, and the group level, using Custom Boundary Data.
Copy From lets you copy special post commands from another operation or from an operation template.
Edit lets you add post commands to the start or end of the path.
Program group
Program
Specifies the program to place the operation in.
Create New
Creates a new program and places it in the Program View of the Operation Navigator. For example, you could create a program called TAPE2 or O1234 to use for postprocessing.
Edit
Modifies the selected program.
Layout and Layer
Lets you save the geometry for the operation on a separate layer.
Options group
Edit Display
Controls the tool path display options such as color and type of tool display.
Customize Dialog
Specifies the parameters (text fields, buttons, and option menus) that appear in the dialog.
Actions group
Generate
Generates the tool path.
Replay
Refreshes the graphics window and replays the tool path.
Verify
Provides options for animating the tool path.
List
Displays a text listing of the tool path in an Information window."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid377064,Balloon tooltips in create operation dialog boxes,"Balloon tooltips are available for all operation subtypes in the Create Operation dialog box. The balloon tooltip includes the name and description of the suboperation, and a descriptive image.

The display of the picture and the tooltip is controlled by:
The Show Picture Tooltips in Create Object Dialog Boxes customer default. This customer default must be selected for NX to display balloon tooltips in the Create Operation dialog box.
The Show Tooltips on Dialog Options option in the Customize dialog box. This option is selected by default. To deactivate the balloon tooltips and see only the name of the suboperations, clear this check box.
Where do I find it?
Application
Manufacturing
Customer default
Show Picture Tooltips in Create Object Dialog Boxes
Location in dialog box
Manufacturing→User Interface→Dialog boxes tab→Show Picture Tooltips in Create Object Dialog Boxes check box
Show Balloon Tooltips on Dialog Options option
Graphics window
Right-click in the Ribbon bar area→Customize
Location in dialog box
Options tab→Tooltips group→Show Tooltips on Dialog Options check box"
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid377157,Dialog box images,"What is it?
Images that illustrate options for cutting parameters and non cutting moves are displayed in tooltips when you pause your cursor on the options.
The display of these images is controlled by the Show Pictures in Dialog Options customer default.
Tip:
To find a customer default, choose File tab→Utilities→Customer Defaults, and click Find Default ."
https://docs.sw.siemens.com/en-US/doc/209349590/PL20231101866122454.mfggeneral/xid1926671,Fully load option for better graphic display,"The default lightweight assembly load options display coarse faceted geometry. When you select the Always Fully Load Assembly customer default check box, NX does the following each time you enter the Manufacturing application.
Fully loads the assembly components that are loaded by Manufacturing, such as machine tools.
Other assembly components that were previously loaded with a lightweight display are not reloaded.
Overrides the settings in the Assembly Load Options dialog box with the Fully Load option.
NX fully loads any assemblies that you open from within the Manufacturing application.
When you exit the Manufacturing application, the Assembly Load Options settings again control the assembly loading and display.
Tip:
To find a customer default, choose File→Utilities→Customer Defaults, and click Find Default ."
